Gauge_ID   Storm_Index  Input_Units   Output_Units   Energy_Equation   Storm_Break_Hours   Storm_Break_Precip   Start_Date   Start_Time   Duration(hrs)   Precip(in)   Max_5_start_date    Max_5_start_time    Max_5_intensity     Max_10_start_date   Max_10_start_time   Max_10_intensity    Max_15_start_date   Max_15_start_time   Max_15_intensity    Max_20_start_date   Max_20_start_time   Max_20_intensity    Max_30_start_date   Max_30_start_time   Max_30_intensity    Max_60_start_date   Max_60_start_time   Max_60_intensity    Energy
CSV        37           0             0              2                 6                   0.05                 09/02/2021   01:48:00     0.08347222      0.01         09/02/2021          01:54:00            0.12                09/02/2021          01:48:00            0.05999999          09/02/2021          01:48:00            0.04                09/02/2021          01:48:00            0.03                09/02/2021          01:48:00            0.02                09/02/2021          01:48:00            0.01                0.00
CSV        38           0             0              2                 6                   0.05                 09/02/2021   10:56:00     0.08347222      0.01         09/02/2021          11:02:00            0.12                09/02/2021          10:56:00            0.05999999          09/02/2021          10:56:00            0.04                09/02/2021          10:56:00            0.03                09/02/2021          10:56:00            0.02                09/02/2021          10:56:00            0.01                0.00
CSV        39           0             0              2                 6                   0.05                 09/03/2021   15:32:00     0.3166667       0.08         09/03/2021          15:49:00            0.48                09/03/2021          15:47:00            0.36                09/03/2021          15:42:00            0.288               09/03/2021          15:32:00            0.24                09/03/2021          15:32:00            0.16                09/03/2021          15:32:00            0.08                55.45
CSV        40           0             0              2                 6                   0.05                 09/04/2021   10:55:00     0.08347222      0.01         09/04/2021          11:01:00            0.12                09/04/2021          10:55:00            0.05999999          09/04/2021          10:55:00            0.04                09/04/2021          10:55:00            0.03                09/04/2021          10:55:00            0.02                09/04/2021          10:55:00            0.01                0.00
CSV        41           0             0              2                 6                   0.05                 09/11/2021   18:48:00     0.5333334       0.02         09/11/2021          19:21:00            0.12                09/11/2021          19:16:00            0.05999999          09/11/2021          18:54:00            0.04                09/11/2021          19:06:00            0.03                09/11/2021          18:54:00            0.032               09/11/2021          18:48:00            0.02                9.65
CSV        42           0             0              2                 6                   0.05                 09/12/2021   12:35:00     0.9666666       0.05         09/12/2021          13:34:00            0.384               09/12/2021          13:29:00            0.24                09/12/2021          13:24:00            0.16                09/12/2021          13:19:00            0.12                09/12/2021          13:09:00            0.08                09/12/2021          12:35:00            0.05                33.84
CSV        43           0             0              2                 6                   0.05                 09/12/2021   23:25:00     0.08347222      0.01         09/12/2021          23:31:00            0.12                09/12/2021          23:25:00            0.05999999          09/12/2021          23:25:00            0.04                09/12/2021          23:25:00            0.03                09/12/2021          23:25:00            0.02                09/12/2021          23:25:00            0.01                0.00
CSV        44           0             0              2                 6                   0.05                 09/13/2021   05:31:00     7.283333        0.05         09/13/2021          12:49:00            0.12                09/13/2021          05:40:00            0.08399999          09/13/2021          05:37:00            0.08                09/13/2021          05:37:00            0.072               09/13/2021          05:37:00            0.05999999          09/13/2021          05:37:00            0.03                24.13
CSV        45           0             0              2                 6                   0.05                 09/13/2021   21:37:00     4.533333        0.16         09/13/2021          21:47:00            0.664               09/13/2021          21:47:00            0.417               09/13/2021          21:46:00            0.336               09/13/2021          21:43:00            0.27                09/13/2021          21:43:00            0.18                09/13/2021          21:43:00            0.09999999          109.29
CSV        46           0             0              2                 6                   0.05                 09/14/2021   11:06:00     0.08347222      0.01         09/14/2021          11:12:00            0.12                09/14/2021          11:06:00            0.05999999          09/14/2021          11:06:00            0.04                09/14/2021          11:06:00            0.03                09/14/2021          11:06:00            0.02                09/14/2021          11:06:00            0.01                0.00
